Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,58.220001,60.490002,58.119999,60.07,1365700,60.07
2016-04-11,57.07,58.52,55.07,58.419998,1607000,58.419998
2016-04-04,57.799999,58.57,56.32,56.759998,1335200,56.759998
2016-03-28,57.310001,59.34,55.34,57.77,1707700,57.77
2016-03-21,57.689999,58.599998,56.18,57.369999,1331000,57.369999
2016-03-14,56.209999,58.610001,55.540001,57.810001,1973000,57.810001
2016-03-07,55.869999,58.34,54.57,56.610001,2608600,56.610001
2016-02-29,50.98,57.119999,50.950001,56.25,2298800,56.25
2016-02-22,49.900002,51.880001,48.220001,51.189999,6079600,51.189999
2016-02-16,44.98,50.34,44.220001,49.91,2745400,49.91
2016-02-08,45.580002,45.759998,41.599998,44.919998,2615200,44.919998
2016-02-01,46.650002,50.900002,45.630001,46.169998,3330700,46.169998
2016-01-25,48.810001,49.189999,45.040001,46.82,2483700,46.82
2016-01-19,49.400002,49.889999,45.119999,49.029999,2813600,49.029999
2016-01-11,55.299999,56.50,48.950001,49.400002,4727300,49.400002
2016-01-04,60.009998,60.799999,54.599998,55.060001,2596800,55.060001
2015-12-28,61.68,63.16,60.91,60.93,1067600,60.93
2015-12-21,59.66,62.34,59.529999,61.849998,1028800,61.849998
2015-12-14,60.869999,62.27,59.48,59.52,2305600,59.52
2015-12-07,65.50,65.730003,60.830002,61.099998,1576500,61.099998
2015-11-30,63.02,65.779999,62.779999,65.290001,2672500,65.290001
2015-11-23,60.419998,63.360001,60.419998,63.049999,1669900,63.049999
2015-11-16,60.779999,62.650002,58.549999,60.549999,4261100,60.549999
2015-11-09,62.540001,63.639999,60.18,60.450001,3834300,60.450001
2015-11-02,55.509998,63.919998,55.16,63.880001,5137500,63.880001
2015-10-26,53.240002,55.82,52.939999,55.189999,3093500,55.189999
2015-10-19,51.91,53.32,51.080002,52.389999,2457600,52.389999
2015-10-12,51.380001,52.540001,50.779999,52.040001,3423500,52.040001
2015-10-05,44.299999,51.669998,43.77,51.57,4791800,51.57
2015-09-28,47.049999,47.27,42.060001,44.00,4911200,44.00
2015-09-21,46.580002,47.93,46.220001,46.970001,2781500,46.970001
2015-09-14,45.389999,47.389999,45.380001,46.48,2784300,46.48
2015-09-08,46.119999,47.450001,45.759998,46.299999,5364500,46.299999
2015-08-31,47.330002,47.330002,44.459999,45.369999,4754100,45.369999
2015-08-24,48.939999,50.889999,46.259998,47.52,6783700,47.52
2015-08-17,54.790001,55.41,51.75,51.759998,1929400,51.759998
2015-08-10,53.59,55.060001,53.080002,54.860001,1667900,54.860001
2015-08-03,52.990002,54.73,51.75,53.029999,2443100,53.029999
2015-07-27,51.439999,51.50,49.50,50.580002,1986800,50.580002
2015-07-20,52.189999,52.950001,51.52,51.779999,1442500,51.779999
2015-07-13,53.00,53.560001,51.84,52.189999,1904100,52.189999
2015-07-06,50.41,53.77,50.200001,52.509998,4230000,52.509998
2015-06-29,51.43,51.619999,49.84,50.830002,2900300,50.830002
2015-06-22,53.900002,54.77,51.810001,52.200001,2336300,52.200001
2015-06-15,52.959999,54.310001,52.689999,53.57,1734800,53.57
2015-06-08,54.610001,55.02,53.869999,54.060001,2162300,54.060001
2015-06-01,54.389999,55.330002,53.439999,54.610001,2621800,54.610001
2015-05-26,56.23,56.23,54.139999,54.150002,2937400,54.150002
2015-05-18,58.610001,58.759998,56.200001,56.389999,4218500,56.389999
2015-05-11,57.23,59.419998,56.529999,58.799999,2066900,58.799999
2015-05-04,57.650002,58.169998,55.77,57.27,1366300,57.27
2015-04-27,62.00,62.169998,56.380001,57.59,2975300,57.59
2015-04-20,60.82,63.209999,60.619999,62.639999,1257000,62.639999
