Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,625.349976,638.01001,611.559998,620.50,3721500,620.50
2016-04-11,596.140015,626.77002,592.309998,625.890015,3179500,625.890015
2016-04-04,599.00,602.390015,585.25,594.599976,2664600,594.599976
2016-03-28,584.400024,603.23999,575.559998,598.50,3351800,598.50
2016-03-21,548.909973,583.549988,538.580017,582.950012,4561100,582.950012
2016-03-14,567.00,581.52002,546.090027,552.080017,4794900,552.080017
2016-03-07,573.539978,573.630005,547.900024,569.609985,4335800,569.609985
2016-02-29,554.00,585.00,552.51001,575.140015,3949300,575.140015
2016-02-22,542.200012,562.50,533.150024,555.22998,5030600,555.22998
2016-02-16,519.47998,541.200012,511.660004,534.900024,4875800,534.900024
2016-02-08,486.470001,516.75,474.00,507.079987,7266100,507.079987
2016-02-01,578.150024,581.799988,499.190002,502.130005,7689600,502.130005
2016-01-25,597.98999,638.059998,570.00,587.00,8077500,587.00
2016-01-19,577.090027,600.099976,547.179993,596.380005,5690300,596.380005
2016-01-11,612.47998,625.98999,565.299988,570.179993,6423500,570.179993
2016-01-04,656.289978,657.719971,605.210022,607.049988,6581700,607.049988
2015-12-28,665.559998,696.440002,665.50,675.890015,4182300,675.890015
2015-12-21,668.50,669.900024,656.630005,662.789978,2416900,662.789978
2015-12-14,641.75,682.50,635.27002,664.140015,4682100,664.140015
2015-12-07,674.73999,679.98999,639.619995,640.150024,4271800,640.150024
2015-11-30,675.900024,684.820007,661.400024,672.640015,4792000,672.640015
2015-11-23,671.50,682.77002,661.210022,673.26001,3396400,673.26001
2015-11-16,640.919983,672.859985,622.289978,668.450012,4965400,668.450012
2015-11-09,658.650024,675.960022,640.450012,642.349976,4694200,642.349976
2015-11-02,627.130005,662.26001,620.409973,659.369995,3943900,659.369995
2015-10-26,602.299988,630.719971,596.289978,625.900024,3950600,625.900024
2015-10-19,570.76001,619.450012,552.52002,599.030029,6107400,599.030029
2015-10-12,539.960022,570.940002,539.679993,570.76001,3690200,570.76001
2015-10-05,536.98999,551.50,519.890015,539.799988,3992900,539.799988
2015-09-28,520.02002,532.599976,490.50,532.539978,4452600,532.539978
2015-09-21,544.330017,549.780029,521.400024,524.25,3378900,524.25
2015-09-14,529.440002,546.969971,517.200012,540.26001,3715700,540.26001
2015-09-08,508.690002,529.950012,508.51001,529.440002,3496300,529.440002
2015-08-31,516.440002,519.409973,493.429993,499.00,3283200,499.00
2015-08-24,463.579987,522.690002,451.00,518.01001,6199300,518.01001
2015-08-17,531.289978,539.48999,494.470001,494.470001,3618300,494.470001
2015-08-10,528.52002,534.659973,513.059998,531.52002,2828900,531.52002
2015-08-03,537.450012,542.73999,518.210022,522.619995,3325500,522.619995
2015-07-27,527.75,544.950012,523.119995,536.150024,4657000,536.150024
2015-07-20,492.570007,580.570007,475.700012,529.419983,8466600,529.419983
2015-07-13,448.290009,485.420013,447.540009,483.01001,4141600,483.01001
2015-07-06,435.230011,444.720001,425.570007,443.51001,2482500,443.51001
2015-06-29,434.980011,440.00,429.00,437.709991,2170100,437.709991
2015-06-22,437.00,447.040009,433.690002,438.100006,2510200,438.100006
2015-06-15,427.660004,444.98999,422.640015,434.920013,2881300,434.920013
2015-06-08,425.619995,438.890015,419.140015,429.920013,2322000,429.920013
2015-06-01,430.399994,438.390015,426.200012,426.950012,2213700,426.950012
2015-05-26,426.200012,432.50,422.00,429.230011,2350900,429.230011
2015-05-18,426.00,436.899994,418.359985,427.630005,2638500,427.630005
2015-05-11,432.51001,439.00,424.299988,426.00,2493300,426.00
2015-05-04,424.799988,435.200012,414.549988,433.690002,2670800,433.690002
2015-04-27,443.859985,446.98999,416.00,422.869995,4081300,422.869995
2015-04-20,378.549988,452.649994,377.00,445.100006,7658200,445.100006
2015-04-13,383.529999,387.809998,374.399994,375.559998,2466200,375.559998
2015-04-06,370.100006,387.119995,369.359985,382.649994,2521500,382.649994
2015-03-30,371.869995,377.700012,368.339996,372.25,2165100,372.25
2015-03-23,378.070007,381.769989,365.649994,370.559998,2687300,370.559998
2015-03-16,370.380005,379.369995,366.700012,378.48999,2544900,378.48999
2015-03-09,378.399994,379.329987,366.26001,370.579987,2669800,370.579987
2015-03-02,380.850006,388.420013,378.880005,380.089996,2333000,380.089996
2015-02-23,383.440002,389.369995,376.160004,380.160004,2498300,380.160004
2015-02-17,377.720001,383.700012,372.670013,383.660004,3133900,383.660004
2015-02-09,371.00,383.00,367.200012,381.829987,2812900,381.829987
2015-02-02,350.049988,378.799988,350.01001,374.279999,6346600,374.279999
2015-01-26,311.820007,359.50,299.329987,354.529999,8333300,354.529999
2015-01-20,292.589996,316.929993,286.390015,312.390015,5749800,312.390015
2015-01-12,297.559998,301.50,285.25,290.73999,4195800,290.73999
2015-01-05,307.01001,308.380005,292.380005,296.929993,2922200,296.929993
2014-12-29,307.850006,314.75,306.579987,308.519989,2483300,308.519989
2014-12-22,301.940002,310.779999,301.940002,309.089996,2779700,309.089996
2014-12-15,308.869995,310.859985,293.029999,299.899994,6244700,299.899994
2014-12-08,311.570007,316.559998,301.140015,307.320007,3470200,307.320007
2014-12-01,338.119995,340.640015,310.839996,312.630005,3992900,312.630005
2014-11-24,334.779999,341.26001,331.279999,338.640015,2587500,338.640015
2014-11-17,326.440002,338.329987,318.029999,332.630005,3903100,332.630005
2014-11-10,300.00,332.880005,300.00,327.820007,4271200,327.820007
2014-11-03,306.23999,308.01001,292.290009,299.859985,3549900,299.859985
2014-10-27,285.700012,305.720001,285.019989,305.459991,5000800,305.459991
2014-10-20,302.950012,318.980011,284.00,287.059998,7751800,287.059998
2014-10-13,309.869995,313.200012,293.829987,303.640015,4446000,303.640015
2014-10-06,323.50,324.130005,311.380005,311.390015,3075600,311.390015
2014-09-29,320.50,325.160004,311.309998,322.73999,2848200,322.73999
2014-09-22,328.48999,329.48999,317.640015,323.209991,2934200,323.209991
2014-09-15,330.910004,332.76001,319.00,331.320007,4171800,331.320007
2014-09-08,344.540009,345.809998,326.390015,331.190002,3509800,331.190002
2014-09-02,339.980011,349.380005,337.160004,346.380005,2598000,346.380005
2014-08-25,333.209991,346.670013,332.709991,339.040009,2553200,339.040009
2014-08-18,335.480011,337.799988,330.799988,331.589996,2038400,331.589996
2014-08-11,318.480011,335.00,316.880005,333.630005,3329300,333.630005
2014-08-04,308.839996,317.320007,308.50,316.799988,2998200,316.799988
2014-07-28,324.25,324.820007,304.589996,307.059998,5083600,307.059998
2014-07-21,358.100006,364.850006,314.76001,324.01001,6557900,324.01001
2014-07-14,347.029999,359.679993,345.359985,358.660004,4065500,358.660004
2014-07-07,337.50,347.00,321.399994,346.200012,4106400,346.200012
2014-06-30,324.980011,338.299988,322.23999,337.48999,2617600,337.48999
2014-06-23,323.329987,329.730011,321.410004,324.570007,2534900,324.570007
2014-06-16,324.859985,338.899994,320.420013,324.200012,4630000,324.200012
2014-06-09,331.570007,340.720001,323.529999,326.269989,3670700,326.269989
2014-06-02,312.589996,330.880005,303.839996,329.670013,3946000,329.670013
2014-05-27,314.410004,314.869995,307.380005,312.549988,3553400,312.549988
2014-05-19,295.76001,312.350006,293.809998,312.23999,3083600,312.23999
2014-05-12,294.299988,305.600006,290.380005,297.700012,3698900,297.700012
2014-05-05,306.369995,310.230011,284.380005,292.23999,4425700,292.23999
2014-04-28,304.00,313.290009,288.00,308.01001,6680200,308.01001
2014-04-21,323.970001,337.50,302.709991,303.829987,7157900,303.829987
2014-04-14,317.670013,328.660004,305.50,324.910004,4569000,324.910004
2014-04-07,320.98999,332.179993,309.50,311.730011,6425100,311.730011
2014-03-31,342.399994,348.299988,315.609985,323.00,6261400,323.00
2014-03-24,360.089996,361.50,330.880005,338.290009,4638600,338.290009
2014-03-17,375.720001,379.00,358.399994,360.619995,3081100,360.619995
2014-03-10,372.690002,383.109985,363.609985,373.73999,3559900,373.73999
2014-03-03,358.73999,375.329987,354.480011,372.059998,2911400,372.059998
2014-02-24,345.190002,365.869995,343.290009,362.100006,3598000,362.100006
2014-02-18,355.279999,355.730011,344.380005,346.76001,4217200,346.76001
2014-02-10,361.609985,365.00,346.320007,357.350006,4190900,357.350006
2014-02-03,358.980011,361.799988,337.730011,361.079987,5439000,361.079987
2014-01-27,390.50,406.25,357.76001,358.690002,7368400,358.690002
2014-01-21,403.00,408.059998,387.269989,387.600006,3166600,387.600006
2014-01-13,397.980011,403.48999,388.450012,399.609985,2993900,399.609985
2014-01-06,395.850006,406.890015,388.420013,397.660004,2437100,397.660004
2013-12-30,399.410004,402.709991,392.450012,396.440002,2207900,396.440002
2013-12-23,403.690002,405.630005,396.25,398.079987,1973800,398.079987
2013-12-16,385.029999,404.720001,383.100006,402.200012,3109100,402.200012
2013-12-09,388.109985,389.420013,379.50,384.23999,2619700,384.23999
2013-12-02,399.00,399.00,381.369995,386.950012,2932600,386.950012
2013-11-25,373.820007,394.100006,373.179993,393.619995,2593100,393.619995
2013-11-18,370.279999,374.50,360.450012,372.309998,2268700,372.309998
2013-11-11,350.589996,372.899994,345.679993,369.170013,3205900,369.170013
2013-11-04,360.119995,362.869995,341.880005,350.309998,2626200,350.309998
2013-10-28,359.920013,366.00,356.100006,359.00,3224200,359.00
2013-10-21,329.890015,368.399994,323.799988,363.390015,5439500,363.390015
2013-10-14,309.220001,331.890015,305.23999,328.929993,2997800,328.929993
2013-10-07,315.23999,315.339996,296.50,310.890015,2643000,310.890015
2013-09-30,313.410004,322.920013,311.059998,319.040009,2145400,319.040009
2013-09-23,314.01001,319.369995,308.769989,316.01001,1914900,316.01001
2013-09-16,299.820007,320.570007,295.26001,316.339996,2940900,316.339996
2013-09-09,297.220001,302.00,296.200012,297.920013,1624200,297.920013
2013-09-03,284.730011,298.880005,284.170013,295.859985,2361200,295.859985
2013-08-26,290.429993,291.049988,279.329987,280.980011,1749100,280.980011
2013-08-19,285.190002,291.50,283.480011,290.01001,1852700,290.01001
2013-08-12,295.790009,299.079987,284.50,284.820007,1990600,284.820007
2013-08-05,303.399994,303.619995,292.549988,297.26001,2067300,297.26001
2013-07-29,311.070007,313.00,298.899994,304.209991,2726100,304.209991
2013-07-22,309.25,313.619995,295.549988,312.01001,4148800,312.01001
2013-07-15,307.269989,309.390015,301.869995,305.230011,2594400,305.230011
2013-07-08,286.420013,307.549988,286.140015,307.549988,3235800,307.549988
2013-07-01,279.00,286.579987,277.160004,285.880005,2371200,285.880005
2013-06-24,271.290009,280.200012,265.00,277.690002,3011100,277.690002
2013-06-17,276.350006,283.339996,269.790009,273.359985,3008500,273.359985
2013-06-10,276.679993,282.470001,270.290009,273.98999,2644700,273.98999
2013-06-03,268.959991,280.100006,262.950012,276.869995,3050700,276.869995
2013-05-28,266.480011,271.910004,264.839996,269.200012,2604000,269.200012
2013-05-20,269.00,271.790009,258.339996,261.73999,2195700,261.73999
