Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,44.419998,47.349998,44.209999,46.970001,20474600,46.92038
2016-04-11,40.740002,46.560001,40.709999,44.919998,28032300,44.872543
2016-04-04,42.360001,42.700001,39.950001,40.470001,17141600,40.427246
2016-03-28,42.099998,42.599998,41.139999,42.470001,15879300,42.425133
2016-03-21,43.43,44.259998,41.029999,41.939999,19456000,41.895691
2016-03-14,42.66,43.970001,41.380001,43.540001,21432600,43.494003
2016-03-07,42.360001,43.009998,40.610001,42.990002,21836300,42.944584
2016-02-29,39.43,43.59,38.849998,42.830002,26233100,42.784756
2016-02-22,39.669998,40.02,36.610001,39.50,23564400,39.458271
2016-02-16,38.59,40.290001,38.060001,38.990002,26867400,38.948811
2016-02-08,39.139999,39.18,34.52,37.540001,39092000,37.500343
2016-02-01,42.360001,42.830002,38.040001,39.860001,29666700,39.81789
2016-01-25,40.810001,42.59,39.450001,42.580002,28605500,42.535019
2016-01-19,42.849998,43.119999,39.439999,41.060001,38525500,40.966061
2016-01-11,46.560001,47.50,41.849998,42.470001,32620500,42.372837
2016-01-04,50.75,51.610001,46.029999,46.130001,26386500,46.024464
2015-12-28,52.57,53.220001,51.75,51.75,9740400,51.631603
2015-12-21,51.709999,52.970001,51.080002,52.709999,12447900,52.589405
2015-12-14,51.139999,54.200001,50.50,51.209999,22390200,51.092838
2015-12-07,54.77,54.880001,50.669998,51.110001,18038700,50.993069
2015-11-30,54.34,55.330002,53.349998,55.09,16592400,54.963963
2015-11-23,54.669998,54.84,53.709999,54.209999,10710100,54.085976
2015-11-16,52.959999,55.369999,52.490002,54.75,15147100,54.624741
2015-11-09,55.919998,56.189999,52.669998,53.169998,17595400,53.048351
2015-11-02,53.450001,56.459999,53.34,55.869999,15558000,55.742176
2015-10-26,53.23,55.060001,52.240002,53.169998,18550200,53.048351
2015-10-19,52.360001,53.669998,51.790001,53.639999,16527400,53.468388
2015-10-12,51.360001,53.360001,50.380001,52.689999,19073000,52.521427
2015-10-05,50.400002,52.02,50.34,51.380001,15059900,51.215618
2015-09-28,50.630001,50.700001,47.709999,49.880001,19929100,49.720417
