Symbol,Sector,Perf_5Year,SD_5Year,Beta_5Year,Beta_10Year
TALN,Consumer Discretionary,10.75663,2.2167,0.006669135,0.560115835
ED,Utilities,9.82558,0.15303,0.017372514,0.219758737
IIJI,Information Technology,10.56512,0.40247,0.018474987,1.166029463
NEM,Materials,-19.88953,0.36968,0.025233894,0.261511773
APPS,Information Technology,-2.60258,0.86178,0.027596759,
ITC,Utilities,12.80138,0.16944,0.030283859,0.564790631
SO,Utilities,8.28747,0.12227,0.048497196,0.261776269
MAMS,Information Technology,37.15935,0.36307,0.073306587,
GFI,Materials,-27.66622,0.43083,0.087245083,0.433367048
SMED,Health Care,12.19221,0.41898,0.09273481,0.702855998
LOV,Information Technology,4.89644,0.37966,0.095098066,
DGICA,Financials,2.82679,0.17902,0.096513599,0.449065627
NI,Utilities,16.62314,0.12831,0.106073427,0.629119363
DUK,Utilities,9.95859,0.14017,0.1066396,0.356029687
THS,Consumer Staples,11.27104,0.22875,0.106659105,0.303318251
WNS,Information Technology,22.26088,0.30112,0.119516076,
WEC,Utilities,14.28962,0.16324,0.131192686,0.313195596
EGAS,Utilities,2.44506,0.20377,0.13188362,0.189278408
HBCP,Financials,14.46991,0.12459,0.13441134,
LAKE,Consumer Discretionary,8.51638,0.6338,0.139114753,0.495971624
FE,Utilities,2.31803,0.20641,0.145524156,0.412333068
PPP,Materials,-14.34699,0.58389,0.145855676,
PLCE,Consumer Discretionary,-0.03075,0.27601,0.153777213,0.827840862
CASH,Financials,30.98944,0.30746,0.157779864,1.035859802
D,Utilities,14.23962,0.12065,0.159483031,0.44181332
ACC,Financials,8.67243,0.16701,0.163777046,0.648266543
SSDOY,Consumer Staples,4.12908,0.24813,0.164478299,0.459268796
UTL,Utilities,14.58883,0.13471,0.169657919,0.28570809
PROV,Financials,24.52991,0.15582,0.169956514,0.78235797
UAL,Industrials,15.04041,0.33897,0.170684123,
COO,Health Care,23.0326,0.22373,0.172371601,0.832281289
XEL,Utilities,13.06151,0.13471,0.175118033,0.36184008
CMS,Utilities,18.87609,0.14571,0.181552585,0.455382294
NSSC,Information Technology,28.60983,0.32444,0.188527377,0.890143566
ANH,Financials,3.66035,0.17845,0.198270628,0.25110953
COKE,Consumer Staples,29.65271,0.27698,0.198563613,0.439255304
LMAT,Health Care,20.49648,0.26626,0.201212321,
SCG,Utilities,12.33538,0.14577,0.203196321,0.476495786
CHMG,Financials,8.23969,0.17074,0.211149625,0.247496105
FCTY,Financials,15.23126,0.21938,0.212392516,0.380355622
LLY,Health Care,24.40171,0.12846,0.21463231,0.63685917
SAFM,Consumer Staples,13.32754,0.2686,0.216551859,0.445300187
TASR,Industrials,35.26876,0.45542,0.219230239,0.851172601
DCM,Telecommunication Services,7.80915,0.20658,0.219746362,0.160892861
PZZA,Consumer Discretionary,35.80784,0.24445,0.220695262,0.536898978
SSPC,--,-52.00974,0.72586,0.221483094,0.038778937
NVEC,Information Technology,4.69494,0.27034,0.227007793,0.755855814
UFCS,Financials,17.20683,0.26795,0.227214346,0.780848364
CHL,Telecommunication Services,6.80582,0.18094,0.232345527,0.541545294
EBMT,Financials,6.28796,0.0952,0.237169313,
CPSI,Health Care,6.0275,0.31583,0.238934769,0.518862875
DPS,Consumer Staples,23.02352,0.1521,0.239967074,
AWK,Utilities,21.79887,0.12417,0.240211503,
FULL,Financials,-7.93214,0.19314,0.244343079,
GOLD,Materials,-8.28871,0.36289,0.244402806,0.415834519
TBNK,Financials,12.30342,0.12215,0.244537591,
LPTH,Information Technology,0.59176,0.72669,0.245853209,0.835360478
NLY,Financials,-0.3734,0.17884,0.245964265,0.311395102
LMNX,Health Care,4.99905,0.28607,0.246883721,0.448651255
ENSV,Energy,9.12715,0.77432,0.248580824,0.815554174
NTT,Telecommunication Services,14.12084,0.18591,0.248701195,0.275097454
HE,Utilities,10.01003,0.158,0.249810924,0.459522806
FMBM,--,14.99968,0.209,0.257806391,0.127149921
CHT,Telecommunication Services,5.46752,0.10242,0.260357037,0.379242185
AGNC,Financials,5.48128,0.18692,0.261811887,
XBKS,Financials,3.35045,0.24584,0.261960492,0.844802135
PEG,Utilities,9.52184,0.15902,0.262601678,0.447591892
AEP,Utilities,14.14916,0.14886,0.26353684,0.489975263
APU,Utilities,3.27406,0.16079,0.273799375,0.405948931
NWN,Utilities,3.67284,0.12998,0.274680343,0.302371217
KMB,Consumer Staples,19.55003,0.14289,0.274856527,0.386358588
VGR,Consumer Staples,27.46432,0.15989,0.275667053,0.432703674
TIS,Consumer Staples,23.91322,0.28901,0.280896889,0.479915473
