"created","symbol","dayslow","dayshigh","open","previousclose","percentchange","changeinpercent"
"2016-04-05T14:47:16Z","GILD","93.75","95.00","94.35","94.12","+0.13%","+0.13%"
"2016-04-05T14:47:16Z","EIX","71.03","72.38","72.00","71.94","-0.15%","-0.15%"
"2016-04-05T14:47:16Z","GS","157.39","160.00","159.97","159.82","-1.28%","-1.28%"
"2016-04-05T14:47:16Z","AMZN","590.55","599.50","599.00","598.50","-0.89%","-0.89%"
"2016-04-05T14:47:16Z","RKUS","12.91","13.30","13.20","10.00","+32.40%","+32.40%"
"2016-04-05T14:47:16Z","AAPL","111.12","2016-04-05T14:47:16Z","AAPL","111.12","2016-04-05T14:47:16Z","AAPL"
"2016-04-05T14:47:16Z","POM","2016-04-05T14:47:16Z","POM","2016-04-05T14:47:16Z","POM","2016-04-05T14:47:16Z","POM"
"2016-04-05T14:47:16Z","GRPN","4.04","4.53","4.10","3.92","+9.44%","+9.44%"
"2016-04-05T14:47:16Z","XIV","25.82","26.82","26.63","26.61","-2.63%","-2.63%"
"2016-04-05T14:47:16Z","YHOO","36.54","37.50","36.55","36.48","+1.48%","+1.48%"
"2016-04-05T14:47:16Z","VA","55.11","+0.00%","+0.00%","2016-04-05T14:47:16Z","VA","55.11"
"2016-04-05T14:47:16Z","MSFT","55.43","2016-04-05T14:47:16Z","MSFT","55.43","2016-04-05T14:47:16Z","MSFT"
"2016-04-05T14:47:16Z","TSLA","243.64","252.12","249.20","237.59","+3.96%","+3.96%"
"2016-04-05T14:47:16Z","BSX","18.93","19.48","18.95","18.94","+2.80%","+2.80%"
"2016-04-05T14:47:17Z","NVDA","35.66","36.64","36.45","36.15","-0.97%","-0.97%"
"2016-04-05T14:47:17Z","ORCL","40.90","41.28","41.15","41.16","-0.22%","-0.22%"
"2016-04-05T14:47:17Z","EW","100.90","107.90","102.21","89.92","+16.86%","+16.86%"
"2016-04-05T14:47:17Z","CPGX","25.11","+0.00%","+0.00%","2016-04-05T14:47:17Z","CPGX","25.11"
"2016-04-05T14:47:17Z","MRK","53.75","54.63","53.91","53.70","+1.30%","+1.30%"
"2016-04-05T14:47:17Z","V","77.53","78.31","77.97","77.59","+0.31%","+0.31%"
"2016-04-05T14:47:17Z","BXLT","40.96","41.93","41.05","40.82","+1.84%","+1.84%"
"2016-04-05T14:47:17Z","FOXA","28.45","28.89","28.57","28.59","-0.03%","-0.03%"
"2016-04-05T14:47:17Z","ERIC","9.73","9.79","9.77","10.04","-2.79%","-2.79%"
"2016-04-05T14:47:18Z","AVP","4.790","4.900","4.790","4.850","+1.010%","+1.010%"
"2016-04-05T14:47:18Z","TWX","73.56","+0.00%","+0.00%","2016-04-05T14:47:18Z","TWX","73.56"
"2016-04-05T14:47:18Z","CMCSA","61.43","+0.00%","+0.00%","2016-04-05T14:47:18Z","CMCSA","61.43"
"2016-04-05T14:47:18Z","XRX","11.00","2016-04-05T14:47:18Z","XRX","11.00","2016-04-05T14:47:18Z","XRX"
"2016-04-05T14:47:18Z","WY","30.95","31.45","31.11","31.15","+0.13%","+0.13%"
"2016-04-05T14:47:18Z","GNCA","6.56","7.49","6.78","6.83","+7.03%","+7.03%"
"2016-04-05T14:47:18Z","WBA","86.31","+0.00%","+0.00%","2016-04-05T14:47:18Z","WBA","86.31"
"2016-04-05T14:47:18Z","MO","62.67","63.30","63.03","63.06","+0.27%","+0.27%"
"2016-04-05T14:47:18Z","MA","94.46","96.10","96.01","95.87","-0.86%","-0.86%"
"2016-04-05T14:47:18Z","FOLD","8.19","8.99","8.94","8.69","-5.06%","-5.06%"
"2016-04-05T14:47:18Z","TLT","130.76","2016-04-05T14:47:18Z","TLT","130.76","2016-04-05T14:47:18Z","TLT"
"2016-04-05T14:47:18Z","SNY","41.83","42.41","42.14","40.33","+3.74%","+3.74%"
"2016-04-05T14:47:19Z","RTN","123.00","125.96","123.08","122.50","+1.41%","+1.41%"
"2016-04-05T14:47:19Z","UTX","100.27","2016-04-05T14:47:19Z","UTX","100.27","2016-04-05T14:47:19Z","UTX"
"2016-04-05T14:47:19Z","LOW","76.05","77.50","77.50","76.50","-0.42%","-0.42%"
"2016-04-05T14:47:19Z","MAS","31.47","32.08","32.00","32.04","-1.12%","-1.12%"
"2016-04-05T14:47:19Z","GPT","8.30","8.57","8.49","8.48","+0.24%","+0.24%"
"2016-04-05T14:47:19Z","RICE","13.77","14.44","13.79","13.77","+0.29%","+0.29%"
"2016-04-05T14:47:20Z","IBM","151.91","153.52","152.34","152.52","-0.30%","-0.30%"
"2016-04-05T14:47:20Z","KHC","78.38","79.09","78.97","79.08","-0.29%","-0.29%"
"2016-04-05T14:47:20Z","CDNS","23.50","23.65","23.60","23.64","-0.38%","-0.38%"
"2016-04-05T14:47:20Z","ANTM","141.29","147.43","141.79","141.85","+3.81%","+3.81%"
"2016-04-05T14:47:20Z","HD","134.85","2016-04-05T14:47:20Z","HD","134.85","2016-04-05T14:47:20Z","HD"
"2016-04-05T14:47:20Z","INO","9.3500","9.6000","9.5100","9.6600","-2.4855%","-2.4855%"
"2016-04-05T14:47:21Z","OCLR","5.25","5.52","5.50","5.49","-3.28%","-3.28%"
"2016-04-05T14:47:21Z","LULU","67.60","2016-04-05T14:47:21Z","LULU","67.60","2016-04-05T14:47:21Z","LULU"
"2016-04-05T14:47:21Z","SABR","29.04","29.73","29.22","29.29","+0.20%","+0.20%"
"2016-04-05T14:47:21Z","DYN","14.14","15.08","14.93","14.92","-4.42%","-4.42%"
"2016-04-05T14:47:21Z","AXLL","21.63","21.79","21.75","21.99","-1.14%","-1.14%"
"2016-04-05T14:47:21Z","WEN","10.80","10.89","10.87","10.87","+0.09%","+0.09%"
"2016-04-05T14:47:21Z","COH","39.99","40.89","40.62","40.52","-0.91%","-0.91%"
"2016-04-05T14:47:21Z","GOOG","742.43","752.80","750.06","749.91","-0.62%","-0.62%"
"2016-04-05T14:47:21Z","FB","111.61","114.55","114.10","116.06","-3.02%","-3.02%"
"2016-04-05T14:47:21Z","TWTR","17.09","2016-04-05T14:47:21Z","TWTR","17.09","2016-04-05T14:47:21Z","TWTR"
