"created","symbol","dayslow","dayshigh","open","previousclose","percentchange","changeinpercent"
"2016-04-05T23:23:49Z","GILD","93.5002","96.6900","93.5500","94.2400","+1.4535%","+1.4535%"
"2016-04-05T23:23:50Z","EIX","70.35","71.87","71.73","71.83","-1.94%","-1.94%"
"2016-04-05T23:23:50Z","GS","154.55","156.53","156.44","157.77","-1.53%","-1.53%"
"2016-04-05T23:23:50Z","AMZN","585.25","593.47","590.77","593.19","-1.19%","-1.19%"
"2016-04-05T23:23:50Z","RKUS","12.950","13.500","13.000","13.240","+1.850%","+1.850%"
"2016-04-05T23:23:50Z","AAPL","109.42","110.73","109.65","111.12","-1.18%","-1.18%"
"2016-04-05T23:23:50Z","POM","2016-04-05T23:23:50Z","POM","2016-04-05T23:23:50Z","POM","2016-04-05T23:23:50Z","POM"
"2016-04-05T23:23:50Z","GRPN","4.210","4.390","4.290","4.290","+1.282%","+1.282%"
"2016-04-05T23:23:50Z","XIV","24.28","25.28","24.91","25.91","-5.75%","-5.75%"
"2016-04-05T23:23:51Z","YHOO","36.22","36.92","36.70","37.02","-1.65%","-1.65%"
"2016-04-05T23:23:51Z","VA","54.75","55.20","54.79","55.11","-0.05%","-0.05%"
"2016-04-05T23:23:51Z","MSFT","54.46","55.30","55.13","55.43","-1.57%","-1.57%"
"2016-04-05T23:23:51Z","TSLA","240.0000","255.3400","240.5000","246.9900","+2.9052%","+2.9052%"
"2016-04-05T23:23:51Z","BSX","19.170","19.550","19.300","19.470","-1.156%","-1.156%"
"2016-04-05T23:23:51Z","NVDA","35.34","36.08","35.48","35.80","+0.28%","+0.28%"
"2016-04-05T23:23:51Z","ORCL","40.46","41.06","40.85","41.07","-1.31%","-1.31%"
"2016-04-05T23:23:51Z","EW","102.8500","104.9100","103.6600","105.0800","-1.7124%","-1.7124%"
"2016-04-05T23:23:52Z","CPGX","25.08","25.22","25.14","25.11","+0.00%","+0.00%"
"2016-04-05T23:23:52Z","MRK","53.99","54.72","54.09","54.40","+0.07%","+0.07%"
"2016-04-05T23:23:52Z","V","76.58","77.47","77.14","77.83","-0.71%","-0.71%"
"2016-04-05T23:23:52Z","BXLT","38.21","40.82","40.66","41.57","-7.55%","-7.55%"
"2016-04-05T23:23:52Z","FOXA","28.230","28.630","28.370","28.580","-0.752%","-0.752%"
"2016-04-05T23:23:52Z","ERIC","9.730","9.840","9.770","10.040","-2.839%","-2.839%"
"2016-04-05T23:23:52Z","AVP","4.79","4.94","4.79","4.85","-0.82%","-0.82%"
"2016-04-05T23:23:52Z","TWX","72.51","73.26","72.98","73.56","-0.95%","-0.95%"
"2016-04-05T23:23:53Z","CMCSA","60.80","61.43","60.98","61.43","-0.31%","-0.31%"
"2016-04-05T23:23:53Z","XRX","10.88","11.03","10.94","11.00","-0.18%","-0.18%"
"2016-04-05T23:23:53Z","WY","30.71","31.06","30.87","31.19","-1.19%","-1.19%"
"2016-04-05T23:23:53Z","GNCA","6.56","7.49","6.78","6.83","+3.37%","+3.37%"
"2016-04-05T23:23:54Z","WBA","82.55","86.00","85.77","86.31","-3.57%","-3.57%"
"2016-04-05T23:23:54Z","MO","62.86","63.27","63.04","63.23","-0.52%","-0.52%"
"2016-04-05T23:23:54Z","MA","93.89","95.41","94.10","95.05","-0.74%","-0.74%"
"2016-04-05T23:23:54Z","FOLD","7.81","8.49","8.10","8.25","+1.94%","+1.94%"
"2016-04-05T23:23:54Z","TLT","131.78","132.36","132.01","130.76","+1.05%","+1.05%"
"2016-04-05T23:23:54Z","SNY","40.980","41.350","41.220","41.840","-1.326%","-1.326%"
"2016-04-05T23:23:54Z","RTN","123.58","126.35","123.80","124.22","+1.63%","+1.63%"
"2016-04-05T23:23:55Z","UTX","99.34","100.31","99.75","100.27","+0.02%","+0.02%"
"2016-04-05T23:23:56Z","LOW","75.55","76.53","75.65","76.18","-0.26%","-0.26%"
"2016-04-05T23:23:56Z","MAS","31.16","31.68","31.37","31.68","-0.57%","-0.57%"
"2016-04-05T23:23:56Z","GPT","8.40","8.56","8.46","8.50","-0.82%","-0.82%"
"2016-04-05T23:23:56Z","RICE","13.48","14.30","13.65","13.81","+0.87%","+0.87%"
"2016-04-05T23:23:56Z","IBM","150.2600","151.6000","151.4300","152.0700","-1.1178%","-1.1178%"
"2016-04-05T23:23:56Z","KHC","78.06","78.85","78.47","78.85","-0.88%","-0.88%"
"2016-04-05T23:23:56Z","CDNS","23.31","23.56","23.37","23.55","-0.21%","-0.21%"
"2016-04-05T23:23:57Z","ANTM","143.14","145.88","144.81","147.26","-2.66%","-2.66%"
"2016-04-05T23:23:57Z","HD","133.90","135.70","134.20","134.85","+0.07%","+0.07%"
"2016-04-05T23:23:57Z","INO","8.810","9.600","9.510","9.660","-8.023%","-8.023%"
"2016-04-05T23:23:57Z","OCLR","5.25","5.37","5.30","5.31","+0.19%","+0.19%"
"2016-04-05T23:23:57Z","LULU","66.21","67.53","67.16","67.60","-1.38%","-1.38%"
"2016-04-05T23:23:57Z","SABR","28.84","29.39","29.17","29.35","-1.57%","-1.57%"
"2016-04-05T23:23:58Z","DYN","13.98","14.38","14.13","14.26","-0.70%","-0.70%"
"2016-04-05T23:23:58Z","AXLL","21.63","22.49","21.75","21.99","-0.09%","-0.09%"
"2016-04-05T23:23:58Z","WEN","10.800","11.045","10.870","10.870","+1.150%","+1.150%"
"2016-04-05T23:23:58Z","COH","39.700","40.070","39.860","40.150","-0.695%","-0.695%"
"2016-04-05T23:23:58Z","GOOG","735.37","742.80","738.00","745.29","-1.00%","-1.00%"
"2016-04-05T23:23:58Z","FB","111.90","113.32","112.00","112.55","-0.29%","-0.29%"
"2016-04-05T23:23:58Z","TWTR","16.89","17.83","17.59","17.09","+0.29%","+0.29%"
