"id","body","created_at",""
"52626262","$GILD $goog $aapl $agn this is pnross25 patdoss25, i recently had severe car accident. Have whole body whip flash. Ill buy these stks monday","2016-04-10T04:40:52Z","GILD"
"52625287","$XBI $IBB $AMGN $BIIB $CELG $GILD $REGN","2016-04-10T02:59:57Z","GILD"
"52625275","5 Biotech Stocks For A Rainy Day - http://stkw.it/b68e by @OphirGottlieb $XBI $IBB $AMGN $BIIB $CELG $GILD $REGN","2016-04-10T02:57:29Z","GILD"
"52625026","{FREE} WHAT IS MY FAVORITE TRADING SETUP? $SPY $GPRO $TWTR $GOOGL $GILD -CLICK THE LINK&gt; http://stkw.it/z6Ji","2016-04-10T02:27:49Z","GILD"
"52624965","Found this statement posted on Twitter..Hello, $GILD ’s John McHutchinson, nice to see you at the $ICPT FDA panel… File this away for later","2016-04-10T02:22:36Z","GILD"
"52623043","$SPY stocks in downtrend &amp; testing resistance $DVN $GILD $RCL $RHI $WYNN","2016-04-09T23:30:47Z","GILD"
"52622880","$IBB $GILD $CELG $AGN Biotech forward PE is now 12.1. The lowest in 20 years! I would say now is a good time to BTFD","2016-04-09T23:18:35Z","GILD"
"52616929","$GILD Approaching 3 month highs with strong momentum. http://stkw.it/g6YS","2016-04-09T17:00:58Z","GILD"
"52613402","Biotech Rally Fizzles: Needs Help from M&amp;A $VRX $RHHBY $ACAD $XBI $XLV $ABBV $BLUE Also $IBB $BMY $GILD $BMRN $INCYhttp://goo.gl/68zQwr","2016-04-09T13:39:11Z","GILD"
"52612582","$GILD the short sellers can cry today and tomorrow and then jump out of a tall skyscraper over the next two weeks never to heard from again","2016-04-09T12:36:40Z","GILD"
"52612555","$GILD still holding calls I bought when gild was 82-86 and short 100 and 115 puts huge profit in both hope you are following and kept core","2016-04-09T12:34:40Z","GILD"
"52612533","$GILD gild is still cheap and Morgan stanly analyst is stupid but if sentiment drives this lower I will go all in at 75 level which I doubt","2016-04-09T12:32:54Z","GILD"
"52612506","$GILD if I was able to I would take gild private and pay off debt easily and become a multi billionaire in less than 7 years   Figure it out","2016-04-09T12:31:19Z","GILD"
"52612489","$GILD I predicated 12 in earnings two years ago and 15 PE I was right on earnings and dead wrong on PE still trying to figure out why ?","2016-04-09T12:30:03Z","GILD"
"52612469","$GILD very smart internal and external R&amp;D working synergistically to grow cheaply and not bet all on one transformative deal . Deserves ^PE","2016-04-09T12:28:30Z","GILD"
"52612444","$GILD gild is buying molecule with a little amount of dollars in hope one of these breaks thru for real winner similar to orbidmed approach","2016-04-09T12:26:26Z","GILD"
"52612430","$GILD analyst are raising earnings estimates and upgrading target price and rating !  26 bill cash 22 bill debt add 1.3 bill a month l","2016-04-09T12:24:20Z","GILD"
"52612409","$GILD gild trying to break thru upside again before ER and liver meeting in Spain! Keeping core trading volitility between 95 and 98","2016-04-09T12:22:05Z","GILD"
"52612398","$GILD bought back 25000 shares of gild at 95.64 average a very good week for us hope you followed ! Do you see gild out performance of group","2016-04-09T12:20:22Z","GILD"
"52611208","Biotech Rally Fizzles: Needs Help from M&amp;A $VRX $RHHBY $ACAD $XBI $XLV $ABBV $BLUE Also $IBB $BMY $GILD $BMRN $INCYhttp://goo.gl/68zQwr","2016-04-09T07:39:21Z","GILD"
"52611074","With a yield of 1.8% Gilead Sciences is a  dividend  stock worth a look $GILD http://stkw.it/h6X4","2016-04-09T06:52:05Z","GILD"
"52609110","$GILD is a BUY with 19.4% upside to current price of $96.17 based on averages of all analyst ratings/targets http://stkw.it/j6SF","2016-04-09T03:20:04Z","GILD"
"52608192","Cheap put options and hedges: $DAL puts cheaper than 91% of history, $SLV 91%, $GILD 87%, $T 87%, $GE 86%, $MO 81%, $AAPL 80%","2016-04-09T02:19:38Z","GILD"
