"created","symbol","dayslow","dayshigh","open","previousclose","percentchange","changeinpercent"
"2016-04-05T03:52:16Z","GILD","93.75","95.00","94.35","94.12","+0.13%","+0.13%"
"2016-04-05T03:52:17Z","EIX","71.03","72.38","72.00","71.94","-0.15%","-0.15%"
"2016-04-05T03:52:17Z","GS","157.39","160.00","159.97","159.82","-1.28%","-1.28%"
"2016-04-05T03:52:17Z","AMZN","590.55","599.50","599.00","598.50","-0.89%","-0.89%"
"2016-04-05T03:52:17Z","RKUS","12.91","13.30","13.20","10.00","+32.40%","+32.40%"
"2016-04-05T03:52:17Z","AAPL","110.27","112.19","110.41","109.99","+1.03%","+1.03%"
"2016-04-05T03:52:17Z","POM","2016-04-05T03:52:17Z","POM","2016-04-05T03:52:17Z","POM","2016-04-05T03:52:17Z","POM"
"2016-04-05T03:52:17Z","GRPN","4.04","4.53","4.10","3.92","+9.44%","+9.44%"
"2016-04-05T03:52:17Z","XIV","25.82","26.82","26.63","26.61","-2.63%","-2.63%"
"2016-04-05T03:52:21Z","YHOO","36.54","37.50","36.55","36.48","+1.48%","+1.48%"
"2016-04-05T03:52:21Z","VA","54.22","55.43","54.53","38.90","+41.67%","+41.67%"
"2016-04-05T03:52:21Z","MSFT","55.00","55.66","55.41","55.57","-0.25%","-0.25%"
"2016-04-05T03:52:21Z","TSLA","243.64","252.12","249.20","237.59","+3.96%","+3.96%"
"2016-04-05T03:52:21Z","BSX","18.93","19.48","18.95","18.94","+2.80%","+2.80%"
"2016-04-05T03:52:21Z","NVDA","35.66","36.64","36.45","36.15","-0.97%","-0.97%"
"2016-04-05T03:52:21Z","ORCL","40.90","41.28","41.15","41.16","-0.22%","-0.22%"
"2016-04-05T03:52:21Z","EW","100.90","107.90","102.21","89.92","+16.86%","+16.86%"
"2016-04-05T03:52:21Z","CPGX","25.08","25.18","25.12","25.08","+0.12%","+0.12%"
"2016-04-05T03:52:21Z","MRK","53.75","54.63","53.91","53.70","+1.30%","+1.30%"
"2016-04-05T03:52:21Z","V","77.53","78.31","77.97","77.59","+0.31%","+0.31%"
"2016-04-05T03:52:22Z","BXLT","40.96","41.93","41.05","40.82","+1.84%","+1.84%"
"2016-04-05T03:52:22Z","FOXA","28.45","28.89","28.57","28.59","-0.03%","-0.03%"
"2016-04-05T03:52:22Z","ERIC","10.04","10.10","10.08","10.05","-0.10%","-0.10%"
"2016-04-05T03:52:22Z","AVP","4.70","4.95","4.75","4.76","+1.89%","+1.89%"
"2016-04-05T03:52:22Z","TWX","72.58","74.00","73.46","72.99","+0.78%","+0.78%"
"2016-04-05T03:52:22Z","CMCSA","61.12","61.81","61.51","61.87","-0.71%","-0.71%"
"2016-04-05T03:52:22Z","XRX","11.00","11.22","11.08","11.10","-0.90%","-0.90%"
"2016-04-05T03:52:22Z","WY","30.95","31.45","31.11","31.15","+0.13%","+0.13%"
"2016-04-05T03:52:22Z","GNCA","5.93","7.08","6.23","5.95","+14.79%","+14.79%"
"2016-04-05T03:52:23Z","WBA","84.82","86.79","86.64","86.70","-0.45%","-0.45%"
"2016-04-05T03:52:23Z","MO","62.67","63.30","63.03","63.06","+0.27%","+0.27%"
"2016-04-05T03:52:23Z","MA","94.46","96.10","96.01","95.87","-0.86%","-0.86%"
"2016-04-05T03:52:23Z","FOLD","8.19","8.99","8.94","8.69","-5.06%","-5.06%"
"2016-04-05T03:52:23Z","TLT","130.27","130.97","130.79","130.68","+0.06%","+0.06%"
"2016-04-05T03:52:23Z","SNY","41.83","42.41","42.14","40.33","+3.74%","+3.74%"
"2016-04-05T03:52:23Z","RTN","123.00","125.96","123.08","122.50","+1.41%","+1.41%"
"2016-04-05T03:52:23Z","UTX","99.80","101.18","100.30","99.97","+0.30%","+0.30%"
"2016-04-05T03:52:23Z","LOW","76.05","77.50","77.50","76.50","-0.42%","-0.42%"
"2016-04-05T03:52:24Z","MAS","31.47","32.08","32.00","32.04","-1.12%","-1.12%"
"2016-04-05T03:52:24Z","GPT","8.30","8.57","8.49","8.48","+0.24%","+0.24%"
"2016-04-05T03:52:24Z","RICE","13.77","14.44","13.79","13.77","+0.29%","+0.29%"
"2016-04-05T03:52:24Z","IBM","151.91","153.52","152.34","152.52","-0.30%","-0.30%"
"2016-04-05T03:52:24Z","KHC","78.38","79.09","78.97","79.08","-0.29%","-0.29%"
"2016-04-05T03:52:24Z","CDNS","23.50","23.65","23.60","23.64","-0.38%","-0.38%"
"2016-04-05T03:52:24Z","ANTM","141.29","147.43","141.79","141.85","+3.81%","+3.81%"
"2016-04-05T03:52:24Z","HD","134.35","136.23","136.07","134.85","+0.00%","+0.00%"
"2016-04-05T03:52:24Z","INO","9.46","9.90","9.50","9.25","+4.43%","+4.43%"
"2016-04-05T03:52:25Z","OCLR","5.25","5.52","5.50","5.49","-3.28%","-3.28%"
"2016-04-05T03:52:25Z","LULU","67.44","69.73","68.95","68.69","-1.59%","-1.59%"
"2016-04-05T03:52:25Z","SABR","29.04","29.73","29.22","29.29","+0.20%","+0.20%"
"2016-04-05T03:52:25Z","DYN","14.14","15.08","14.93","14.92","-4.42%","-4.42%"
"2016-04-05T03:52:25Z","AXLL","21.93","23.21","22.74","22.12","-0.59%","-0.59%"
"2016-04-05T03:52:25Z","WEN","10.80","10.99","10.98","10.99","-1.09%","-1.09%"
"2016-04-05T03:52:25Z","COH","39.99","40.89","40.62","40.52","-0.91%","-0.91%"
"2016-04-05T03:52:25Z","GOOG","742.43","752.80","750.06","749.91","-0.62%","-0.62%"
