"id","body","created_at",""
"52294132","$GILD coming back to you beautiful fwd pe gild. Allergan got decapitated. Now i will trade amgn gild and uvxy","2016-04-05T01:31:35Z","GILD"
"52294103","$XBI 10000+ CALLS  $ICPT $IBB $GILD $TWTR+8% $SPY $IWM $QQQ   SECTOR ANALYSIS- LEVELS/PATTERN/OPTIONS FLOW http://stkw.it/z4xh","2016-04-05T01:30:55Z","GILD"
"52293327","@BrackAttack That I wake up ready to roll. Think biopharma goes higher in q2. $gild $celg favorites. $agn just spec on big selloff.","2016-04-05T01:09:05Z","GILD"
"52292438","$GILD http://stkw.it/z4xA","2016-04-05T00:41:33Z","GILD"
"52291822","$AGN $PFE $BIIB $GILD Any biotech in the same ETF or mutual fund as Allergan will be crushed tomorrow amid the wave of selling.","2016-04-05T00:23:04Z","GILD"
"52290873","$GILD @Agiardi1 #yachtparty","2016-04-04T23:53:17Z","GILD"
"52288379","$GILD ticks the boxes as a dream  dividend  stock with 1.9% yield http://stkw.it/i4qM","2016-04-04T23:00:04Z","GILD"
"52288246","$GILD goes to show the street doesn&#39;t value mnmgt. People think mngmt here will allow this company to become a has been. Not me","2016-04-04T22:57:04Z","GILD"
"52286234","@commonking @EveryTimeICash $GILD updated chart. trendline goal reached","2016-04-04T22:18:33Z","GILD"
"52284586","$AGN $CLVS $VRX $PFE $CELG $GILD $AGN $BIIB","2016-04-04T21:49:24Z","GILD"
"52282407","$GILD quietly adding drug candidates into its pipeline for NASH.NASH is not as easy as many investors have thought.GILD is moving cautiously","2016-04-04T21:14:39Z","GILD"
"52282122","The FDA approved Gilead&#39;s Descovy for the treatment of HIV-1 in patients at least 12 years old $GILD","2016-04-04T21:10:40Z","GILD"
"52281104","$GILD 50 small or 1 CELG? I&#39;ll take the 50 small.","2016-04-04T20:56:45Z","GILD"
"52280859","$GILD BofA came in, at our HOD, and reiterated their neutral rating. Thanks BofA.","2016-04-04T20:53:41Z","GILD"
"52279577","$GILD  link http://stkw.it/d4aP","2016-04-04T20:36:42Z","GILD"
"52279541","$GILD Good news U.S. Food and Drug Administration Approves Descovy® (Emtricitabine, Tenofovir Alafenamide),GILD’sThird TAF-Based HIV Therapy","2016-04-04T20:36:11Z","GILD"
"52278857","$GILD acquisition + FDA approval = 0.01 gain?","2016-04-04T20:27:41Z","GILD"
"52276193","$GILD 1 million trades in last 10 minutes","2016-04-04T20:01:16Z","GILD"
"52275013","$GILD might close ReD below $94 !!! If can&#39;t get up days like this!!!!","2016-04-04T19:50:35Z","GILD"
"52274631","$GILD FDA Approval and the price going down ??????","2016-04-04T19:47:02Z","GILD"
"52274207","$AAPL $SPY $FB $TSLA $TWTR $GILD $EVERYTHING http://stkw.it/u3uL","2016-04-04T19:43:15Z","GILD"
"52273651","$NFLX $AAPL $GILD $TSLA $FB $AVXL $AMZN Wonder how many ppl marketwatch lost because of their crappy new interface, it sucks!","2016-04-04T19:37:31Z","GILD"
"52272301","@Charvanek  @OpenOutcrier $gild needs a big buyout in this discounted bio time to make price up","2016-04-04T19:23:30Z","GILD"
"52270305","$GILD","2016-04-04T19:01:26Z","GILD"
"52270078","U.S. FDA Approves Descovy(R) (Emtricitabine, Tenofovir Alafenamide), Gilead&#39;s Third TAF-Based HIV Therapy &gt; $GILD","2016-04-04T18:59:16Z","GILD"
"52270014","$GILD gets FDA approval for Descovy -BBG","2016-04-04T18:58:34Z","GILD"
"52269986","$GILD 
http://stkw.it/a4a4","2016-04-04T18:58:22Z","GILD"
"52269939","$GILD gets FDA approval for Descovy -BBG","2016-04-04T18:57:46Z","GILD"
"52269902","$GILD - U.S. Food and Drug Administration Approves Descovy® (Emtricitabine, Tenofovir Alafenamide), Gilead’s Third TAF-Based HIV Therapy","2016-04-04T18:57:23Z","GILD"
"52267588","CYDY with the $1 break, read jbem&#39;s DD, standard of care for AIDS here folks, 5-10 bagger written all over it

$SYN $IDRA $IBB $XBI $GILD","2016-04-04T18:33:10Z","GILD"
"52124469","Edison International (EIX) Reaches New Lifetime High Today $EIX http://stkw.it/h47J","2016-04-01T14:09:54Z","EIX"
"52116731","Top Downgrades 4/1: $AAL $ALRM $ASB $CMG $CNQ $DAL $EIX $FAST $FITB $GWW $HA $HCN $IR $ISRG (1/2)","2016-04-01T13:04:13Z","EIX"
"52111908","#downgrades $EIX $ALRM $HCN $RF $ASB $VIAB $DAL $HA $UAL $AAL $TGNA $SSW $VNTV $CMG $FAST $GWW $FITB","2016-04-01T11:50:28Z","EIX"
"52110484","Edison International downgraded by Goldman Sachs to neutral. http://stkw.it/g41g $EIX","2016-04-01T11:13:46Z","EIX"
"52108948","Analysts Offer Insights on Utilities Companies: Edison International (NYSE: EIX) and Entergy Corp. (NYSE: ETR) $EIX http://stkw.it/j44H","2016-04-01T10:11:54Z","EIX"
"52038009","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$AVB $BCR $DTE $EIX $IPHI $MMC $POOL $SAP $TSN $WST","2016-03-31T13:35:10Z","EIX"
"52001603","$EIX announced it will create a new energy subsidiary named Edison Energy. How will this change affect $EIX stock? Share an idea","2016-03-30T20:00:52Z","EIX"
"51961047","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$BCR $DTE $EIX $VAL
Share An Idea On Any Of These Picks","2016-03-30T13:30:21Z","EIX"
"51948917","Worth Watching Utility Stock: $EIX http://stkw.it/z3Tv","2016-03-30T05:13:52Z","EIX"
"51930596","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000289
http://stkw.it/x2QE","2016-03-29T20:59:27Z","EIX"
"51930091","Edison: (2) Form, Schedule Or Registration Statement No  http://stkw.it/y2SL $EIX","2016-03-29T20:52:11Z","EIX"
"51790699","$EIX - New 52 Week High - Doji - Bearish","2016-03-27T15:35:41Z","EIX"
"51743672","$EIX: New SEC Filing for EIX:
Form 4
http://stkw.it/x1Mz","2016-03-24T21:46:09Z","EIX"
"51742927","Edison International director just cashed-in 10,000 options  http://stkw.it/h1oz $EIX","2016-03-24T21:31:17Z","EIX"
"51619925","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$EIX $FICO $MMC $PGR 
Share An Idea On Any Of These Picks","2016-03-23T13:25:17Z","EIX"
"51594831","Scan results - Bearish Engulfing today: $AI $TAHO $VRA $EIX $DXB $SCG $KLIC $BBBY $DKT $CRTO ... http://stkw.it/i16F","2016-03-22T22:04:29Z","EIX"
"51556908","Today Edison International (EIX) Hits New Lifetime High $EIX http://stkw.it/a0t0","2016-03-22T15:02:56Z","EIX"
"51540985","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000285
http://stkw.it/f0qP","2016-03-22T10:06:54Z","EIX"
"51532157","$EIX End of Day Scan: 52 Week High","2016-03-22T00:41:49Z","EIX"
"51436027","$EIX: New SEC Filing for EIX:
Form DEF 14A, No. 0001206774-16-005009
http://stkw.it/a09e","2016-03-18T20:27:47Z","EIX"
"51435227","Edison International releases salary data. CEO sees compensation fall -21% http://stkw.it/u00u $EIX","2016-03-18T20:18:03Z","EIX"
"51354957","$EIX Doing Okay...","2016-03-17T18:17:55Z","EIX"
"51289770","$EIX Beautiful...","2016-03-16T19:49:03Z","EIX"
"51167381","Watch List Build &amp; Market Analysis 03/14/16  http://stks.co/e3Uuo $SPY $AAPL $EIX $ENLK $GNW $HCLP #stocks #trading #options","2016-03-15T01:45:50Z","EIX"
"51166546","Join me LIVE on @TickerTV for my nightly watch list build, Market Q&amp;A &amp; trade recap http://stks.co/f48RA $SPY $AAPL $EIX $HCLP $GNW $ELNK","2016-03-15T01:19:23Z","EIX"
"51162675","Edison International&#39;s PT raised by SunTrust to $78.00. buy rating. http://stks.co/d3Uas $EIX","2016-03-14T23:22:48Z","EIX"
"51152335","The Following Stop Losses Have Been Raised At GorillaTrades, In Order To Preserve Subscriber Gains:
$TSN $NDAQ $MMC $EIX $DG $DTE","2016-03-14T20:00:12Z","EIX"
"51129881","The Following Price Targets Have Been Raised At GorillaTrades, Due To Accelerating Technical Strength:
$DTE $DG $EIX $MMC $NDAQ $TSN","2016-03-14T15:15:27Z","EIX"
"51126466","52-Week High Alert: Trading today&#39;s movement in EDISON INTERNATIONAL $EIX http://stks.co/z0N0g","2016-03-14T14:34:05Z","EIX"
"51075853","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Today:
$DG $DTE $EIX $MKTX $NDAQ $TSN

Share An Idea On Any Of These Picks","2016-03-11T21:55:48Z","EIX"
"52291632","$GLBL $SUNE $CAFD $GS $FSLR Just saw this myself .. Not sure what to make of it","2016-04-05T00:10:36Z","GS"
"52291358","$GLBL is not listed anymore as $SUNE Affiliate, and sue them; its clear it was sold; maybe to another YieldCo $CAFD or maybe $GS or $FSLR?","2016-04-05T00:04:39Z","GS"
"52289517","We didn&#39;t get filled on our options play today on $GS due to failed breakout, but here are our ongoing trades - http://stkw.it/a4go","2016-04-04T23:25:01Z","GS"
"52284781","goldman sachs, talk about serial underpermers. gross $GS","2016-04-04T21:52:43Z","GS"
"52276860","Microsoft’s $MSFT Azure Partners With R3 Blockchain Consortium $GS $C $BAC $MS http://stkw.it/a4bg #FinTech #blockchain","2016-04-04T20:06:32Z","GS"
"52271421","$GS may go green by EOD lol","2016-04-04T19:14:11Z","GS"
"52268540","$GS low volume today.. so pull back is  OK","2016-04-04T18:43:11Z","GS"
"52266254","Price Target Alert: Trading the Zacks price target change for GOLDMAN SACHS GROUP $GS http://stkw.it/e4VA","2016-04-04T18:19:06Z","GS"
"52262413","$GS large blocks ready to buy - they are about to buy in. Right there on ur screens go look 👀✌️","2016-04-04T17:40:35Z","GS"
"52261072","$GS and the rest of sector feeling the pressure of falling $CL_F","2016-04-04T17:26:16Z","GS"
"52259689","$GS in ABC Bullish Pattern + MSL, Targets","2016-04-04T17:12:04Z","GS"
"52256609","Comparing value/ PEs of $GS 12.9x, $PRU 5.9x, anything to look out for? http://stkw.it/b4RP","2016-04-04T16:40:26Z","GS"
"52248669","$GS (Goldman Sachs): Q1 GDP estimate cut to 1.2% from 1.4%. #finance #economy","2016-04-04T15:19:40Z","GS"
"52238306","$GS per OI had 157.50 as support. Slight undercut, not over 158. Let&#39;s see if it gets over 160, has a ton of room higher.","2016-04-04T13:53:37Z","GS"
"52236603","$GS Looking for a short term rally from the low...try to reclaim the uptrend.","2016-04-04T13:39:49Z","GS"
"52236368","$GILD $GS $JPM $C $MS Silver Lake parked @ $8.5B in Cayman Islands when selling its Skype http://stkw.it/e4Nw
 http://stkw.it/c4Rv","2016-04-04T13:37:50Z","GS"
"52234321","$SJM setting up for possible breakout failure above 130 Downgraded to sell @ $GS. Top end of channel is $1 higher.","2016-04-04T13:13:34Z","GS"
"52224970","$ES_F $GS $SPY Potential upside plays for Monday: http://stkw.it/g4Zb Follow me on Twitter if you haven&#39;t to get my real-time trades","2016-04-04T05:12:35Z","GS"
"52223899","Members: check the &quot;charts of the week&quot; section. Just posted charts with notes on $NFLX $CELG $IBB $GS $UA $NKE $V $TGT $WFM $CELG $HD $COP.","2016-04-04T04:00:05Z","GS"
"52223609","@Henry2013 looking at the $XLF and $GS. Any thoughts?","2016-04-04T03:42:39Z","GS"
"52222724","$CAT $KORS $GS $MAT $CMCSA $HLF $ABT gained every day last week, but vol didn&#39;t follow through. So what comes first?","2016-04-04T02:59:25Z","GS"
"52221516","@StockTwits $GS is setting up for a huge run to 165","2016-04-04T02:00:42Z","GS"
"52219477","$GS should be crackin higher Monday #boom","2016-04-04T00:32:12Z","GS"
"52213843","NEW POST: Weekend Overview and Analysis 04/03/16 {Video} http://stkw.it/w3f2 $ALK $GS $SPY $VA $XBI","2016-04-03T19:45:36Z","GS"
"52212687","$GS I think it&#39;s gonna go for a rip along with the markets.","2016-04-03T18:51:48Z","GS"
"52212318","$GS 157.5 support then 155. Gets over 160, runs. Lots of room higher. Hmm! Even looks good.","2016-04-03T18:35:22Z","GS"
"52212110","$GS Triple top b/o Frid. RSI rising to bullish zone, MACD rising. P&amp;F has $195 PT","2016-04-03T18:24:27Z","GS"
"52210949","$GS Breaking higher w/BB opening up. Absolutely ready to see over 160. Short term looking for 165 w/consolidation.","2016-04-03T17:22:46Z","GS"
"52210903","$GS still on radar day traded it Friday","2016-04-03T17:19:21Z","GS"
"52210455","$GILD $JPM $$GS $MRK all have Caymanbanks. FC are not subject to FedEstateTaxes says JPM. http://stkw.it/b4By http://stkw.it/d4Ek","2016-04-03T16:55:54Z","GS"
"52294417","$AMZN short material.","2016-04-05T01:38:48Z","AMZN"
"52293799","@robertlesnicki #MNM $AMZN please","2016-04-05T01:23:52Z","AMZN"
"52293527","$spy $qqq $fb $nflx $AMZN hope so I want cheap shares of $PM and $LMT","2016-04-05T01:15:53Z","AMZN"
"52293338","$AMZN Death Cross???","2016-04-05T01:09:25Z","AMZN"
"52292267","If oil doesn&#39;t catch a bid we are going to implode markets in turmoil recession negative rates $spy $qqq $fb $nflx $AMZN","2016-04-05T00:36:53Z","AMZN"
