id,body,created_at,symbol
52271308,$AAPL any numbers out for recent product sales yet?,2016-04-04T19:13:00Z,APPL
52271260,March Quarter Unit Sales of #Apple iPhone Will Clock in at 50 Million: Brean Capital http://stkw.it/d4Xk $AAPL,2016-04-04T19:12:22Z,APPL
52271099,Buy $AAPL Before It&#39;s Too Late! - http://stkw.it/a4aP,2016-04-04T19:10:25Z,APPL
52271085,$AAPL Will get some calls for swing but not today.,2016-04-04T19:10:18Z,APPL
52270988,7 Deep Value Stocks to Buy Soon $CVX $NRF $AAPL $SF ... http://stkw.it/g4oS,2016-04-04T19:09:16Z,APPL
52270797,"$AAPL I hope this happens, seems like most Bulls are left behind",2016-04-04T19:06:39Z,APPL
52270708,"$AAPL old school run b4 earnings, close the gaps post ER?",2016-04-04T19:05:38Z,APPL
52270510,$AAPL that 111.50 needs to broken,2016-04-04T19:03:21Z,APPL
52270452,$AAPL better get in now <f0><U+009F><U+008D><U+008E>,2016-04-04T19:02:44Z,APPL
52270427,"$AAPL got a GTC order , buy weekly 110-112 call spread for 91c might fill Tuesday, financed by shorting  the 112-113  for 36c, skew benefit.",2016-04-04T19:02:29Z,APPL
52270126,"$AAPL @UPB no reply from UPB, he went short around $100 saying this is headed to $70, would be nice to get an update. Let us know please.",2016-04-04T18:59:42Z,APPL
52269971,$AAPL i have this native american invention called a dream catcher (stop loss) which is fabled to prevent nightmares,2016-04-04T18:58:12Z,APPL
52269933,ICYMI: $AAPL $AMZN $BIDU $BABA $GPRO $TWTR $FB,2016-04-04T18:57:40Z,APPL
52269666,$AAPL could make a move higher for power hour..,2016-04-04T18:54:51Z,APPL
52269507,Also quiet for bearish options trades. $PSX $FLO $XLU and $AAPL is the extent of that list.,2016-04-04T18:53:18Z,APPL
52269463,$AAPL looks like it&#39;s done for the day,2016-04-04T18:52:56Z,APPL
52269318,@robertngugi I remember when the race was between $AAPL and $BABA late 2014,2016-04-04T18:51:18Z,APPL
52269222,"@Timothy_Lutts take on stocks such as $FB $SUNE $AAPL $WFC, and a longer term perspective on the $SPY http://stkw.it/d4XH",2016-04-04T18:50:26Z,APPL
52269219,$EW $AAPL I wish I had the power to move markets in my favor... Must be great to be a Big Bank...,2016-04-04T18:50:24Z,APPL
52269022,"$AAPL  Brean Capital believes Apple will see total iPhone sales for 2016 drop by 16 million units, amidst a slowing smartphone market.",2016-04-04T18:48:09Z,APPL
52268998,$AAPL 113-114 coming,2016-04-04T18:47:54Z,APPL
52268979,"(3/4)

$INTC versus $QCOM Chart Storm

Smartphone Chip Market Share ( $AAPL )

http://stkw.it/u3tL",2016-04-04T18:47:43Z,APPL
52268897,#Apple Services Business Under Appreciated: Credit Suisse http://stkw.it/a4Zt $AAPL,2016-04-04T18:46:43Z,APPL
52268735,"$AAPL machines have it on cruise control in a continuous  loop, as it bounced perfectly at the  $111.11 double bottom.",2016-04-04T18:45:13Z,APPL
52268481,"$AAPL Maybe a correction to lower the RSI, then back on uptrend.  PT 130.",2016-04-04T18:42:31Z,APPL
52268164,"Facebook&#39;s Impossible Growth and Colossal Risk  http://stkw.it/f4lF

$FB $AAPL",2016-04-04T18:38:58Z,APPL
52268003,$FB or $AAPL who&#39;s gonna reach that $120 first.,2016-04-04T18:37:15Z,APPL
52267949,$AAPL new I should have picked up 50 more shares at 95! Let&#39;s see 115,2016-04-04T18:36:46Z,APPL
52266997,$AAPL,2016-04-04T18:27:00Z,APPL
52266258,Chart of SPY: &quot;Hey hey..Brother bear...wake up.&quot; PB @ some point?? $IWM $IBB $XLF $AAPL $FB $AMZN $NFLX $GOOGL $TSLA,2016-04-04T18:19:10Z,APPL
52272733,$AAPL an upside down coffee cup. The coffee is being spilled.,2016-04-04T19:28:14Z,APPL
52272670,$AAPL wkly call spread 113-115.....,2016-04-04T19:27:40Z,APPL
52272649,$AAPL see I to;d you... I sold 112$ and i will reload between 110 and 111 Now dont tell me I didnt call it... Watch my tweet today,2016-04-04T19:27:18Z,APPL
52272511,$AAPL thoughts on consolidation at this level?,2016-04-04T19:25:47Z,APPL
52272313,"$AAPL tons of pump jobs are suddenly coming out, i would be suspicious",2016-04-04T19:23:38Z,APPL
52272297,$AAPL Triple bottom today 111.11,2016-04-04T19:23:28Z,APPL
52272219,$AAPL sell this hot potato Quick before wall Street does a hit job on retail,2016-04-04T19:22:46Z,APPL
52272059,$AAPL When will #Apple will sell its billionth iPhone? It may be sooner than you think http://stkw.it/g4ol,2016-04-04T19:21:01Z,APPL
52271935,$AAPL: The Costs for the iPhone SE Have Been Revealed - http://stkw.it/b4Ud,2016-04-04T19:19:40Z,APPL
52271861,$aapl http://stkw.it/w3ud pump it up!,2016-04-04T19:19:04Z,APPL
52271704,"Apple iPhone SE Responds Poorly to Bend, Drop, and Water Tests http://stkw.it/e4WN $AAPL",2016-04-04T19:17:27Z,APPL
52271491,$AAPL Doing nothing but killing the option cost all day.,2016-04-04T19:14:52Z,APPL
